Tipo ;Nivel;Elemento;Diámetro;Longitud de barra (m);Cantidad;Peso de acero;Peso total (kg)
 Corte 9-9 ; SUP ; Viga Chata ;" 1/2"" ";1.88;2; 0.99 kg/m ;3.727967
 Corte 9-9 ; SUP ; Viga Chata ;" 1/2"" ";1.88;2; 0.99 kg/m ;3.727967
 Corte 9-9 ; SUP ; Viga Chata ;" 1/2"" ";1.88;2; 0.99 kg/m ;3.727967
 Viga Peraltada ; SUP ;;;;;;
 Corte 2-2 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;31; 0.56 kg/m ;35.538639
 Corte 2-2 ; SUP ; Viga Peraltada ;" 3/8"" ";2.02;11; 0.56 kg/m ;12.459583
 Corte 2-2 ; SUP ; Viga Peraltada ;" 3/4"" ";5.67;2; 2.24 kg/m ;25.366046
 Corte 2-2 ; SUP ; Viga Peraltada ;" 3/4"" ";5.67;2; 2.24 kg/m ;25.365996
 Corte 2-2 ; SUP ; Viga Peraltada ;" 3/4"" ";2.49;2; 2.24 kg/m ;11.112044
 Corte 2-2 ; SUP ; Viga Peraltada ;" 3/4"" ";2.48;2; 2.24 kg/m ;11.071313
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;20; 0.56 kg/m ;22.960905
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.92;2; 2.24 kg/m ;17.508992
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.92;2; 2.24 kg/m ;17.537703
 Corte 5-5 ; SUP ; Viga Peraltada ;" 3/8"" ";1.87;15; 0.56 kg/m ;15.749306
 Corte 5-5 ; SUP ; Viga Peraltada ;" 3/8"" ";1.87;11; 0.56 kg/m ;11.549473
 Corte 5-5 ; SUP ; Viga Peraltada ;" 5/8"" ";4.8;2; 1.55 kg/m ;14.894512
 Corte 5-5 ; SUP ; Viga Peraltada ;" 5/8"" ";4.8;2; 1.55 kg/m ;14.899824
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;10; 0.56 kg/m ;11.344535
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;10; 0.56 kg/m ;11.344121
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;10; 0.56 kg/m ;11.345166
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2;9; 0.56 kg/m ;10.091959
 V-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";7.01;2; 2.24 kg/m ;31.324662
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";8.98;2; 2.24 kg/m ;40.138131
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";7.4;2; 2.24 kg/m ;33.061209
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.53;2; 2.24 kg/m ;15.765778
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";7.03;2; 2.24 kg/m ;31.445467
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";8.99;2; 2.24 kg/m ;40.201397
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";7.22;2; 2.24 kg/m ;32.271872
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";2.94;2; 2.24 kg/m ;13.15944
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";2.94;2; 2.24 kg/m ;13.15944
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";2.94;2; 2.24 kg/m ;13.15944
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.36;1; 2.24 kg/m ;7.513644
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.36;1; 2.24 kg/m ;7.501978
 V-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.38;2; 2.24 kg/m ;15.095299
 V-4 ; SUP ; Viga Peraltada ;" 3/8"" ";1.95;10; 0.56 kg/m ;10.916107
 V-4 ; SUP ; Viga Peraltada ;" 3/8"" ";1.95;5; 0.56 kg/m ;5.458053
 V-4 ; SUP ; Viga Peraltada ;" 3/4"" ";3.73;2; 2.24 kg/m ;16.677215
 V-4 ; SUP ; Viga Peraltada ;" 1"" ";4.49;2; 3.40 kg/m ;30.520328
 V-4 ; SUP ; Viga Peraltada ;" 1"" ";3.44;1; 3.40 kg/m ;11.670839
 V-7 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-7 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-7 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;11; 0.56 kg/m ;12.487844
 V-7 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-7 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;15; 0.56 kg/m ;17.02838
 V-7 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-7 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-7 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-7 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;11; 0.56 kg/m ;12.487844
 V-7 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-7 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-7 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;11; 0.56 kg/m ;12.486237
 V-7 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-7 ; SUP ; Viga Peraltada ;" 3/8"" ";2.06;11; 0.56 kg/m ;12.70182
 V-7 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-7 ; SUP ; Viga Peraltada ;" 3/4"" ";7.86;2; 2.24 kg/m ;35.135448
 V-7 ; SUP ; Viga Peraltada ;" 3/4"" ";8.98;2; 2.24 kg/m ;40.138131
 V-7 ; SUP ; Viga Peraltada ;" 3/4"" ";6.39;2; 2.24 kg/m ;28.548871
 V-7 ; SUP ; Viga Peraltada ;" 3/4"" ";3.81;1; 2.24 kg/m ;8.518904
 V-7 ; SUP ; Viga Peraltada ;" 3/4"" ";8.37;2; 2.24 kg/m ;37.421883
 V-7 ; SUP ; Viga Peraltada ;" 3/4"" ";6.22;2; 2.24 kg/m ;27.784277
 V-7 ; SUP ; Viga Peraltada ;" 3/4"" ";8.99;2; 2.24 kg/m ;40.201397
 V-7 ; SUP ; Viga Peraltada ;" 3/4"" ";8.99;2; 2.24 kg/m ;40.192186
 V-7 ; SUP ; Viga Peraltada ;" 3/4"" ";8.98;2; 2.24 kg/m ;40.132541
 V-7 ; SUP ; Viga Peraltada ;" 3/4"" ";3.12;2; 2.24 kg/m ;13.934989
 V-7 ; SUP ; Viga Peraltada ;" 3/4"" ";4.54;2; 2.24 kg/m ;20.281911
 V-7 ; SUP ; Viga Peraltada ;" 3/4"" ";3.77;2; 2.24 kg/m ;16.855074
 V-7 ; SUP ; Viga Peraltada ;" 3/4"" ";3.12;2; 2.24 kg/m ;13.934882
 V-7 ; SUP ; Viga Peraltada ;" 3/4"" ";3.12;2; 2.24 kg/m ;13.934989
 V-8 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;10; 0.56 kg/m ;11.358323
 V-8 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;10; 0.56 kg/m ;11.358323
 V-8 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;8; 0.56 kg/m ;9.08639
 V-8 ; SUP ; Viga Peraltada ;" 3/8"" ";2.04;19; 0.56 kg/m ;21.707352
 V-8 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;10; 0.56 kg/m ;11.358323
 V-8 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;10; 0.56 kg/m ;11.358323
 V-8 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.224093
 V-8 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;10; 0.56 kg/m ;11.358323
 V-8 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;10; 0.56 kg/m ;11.358323
 V-8 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.225776
 V-8 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-8 ; SUP ; Viga Peraltada ;" 3/8"" ";2.01;10; 0.56 kg/m ;11.269287
 V-8 ; SUP ; Viga Peraltada ;" 3/8"" ";2.03;9; 0.56 kg/m ;10.222491
 V-8 ; SUP ; Viga Peraltada ;" 3/4"" ";7.25;2; 2.24 kg/m ;32.396882
 V-8 ; SUP ; Viga Peraltada ;" 3/4"" ";8.98;2; 2.24 kg/m ;40.118722
 V-8 ; SUP ; Viga Peraltada ;" 3/4"" ";3.47;1; 2.24 kg/m ;7.762099
 V-8 ; SUP ; Viga Peraltada ;" 3/4"" ";5.84;2; 2.24 kg/m ;26.096507
 V-8 ; SUP ; Viga Peraltada ;" 3/4"" ";8.99;2; 2.24 kg/m ;40.192186
 V-8 ; SUP ; Viga Peraltada ;" 3/4"" ";6.69;2; 2.24 kg/m ;29.91403
 V-8 ; SUP ; Viga Peraltada ;" 3/4"" ";5.7;2; 2.24 kg/m ;25.472385
 V-8 ; SUP ; Viga Peraltada ;" 3/4"" ";2.94;2; 2.24 kg/m ;13.151581
 V-8 ; SUP ; Viga Peraltada ;" 3/4"" ";2.94;1; 2.24 kg/m ;6.575791
 V-8 ; SUP ; Viga Peraltada ;" 3/4"" ";2.94;1; 2.24 kg/m ;6.575791
 V-8 ; SUP ; Viga Peraltada ;" 3/4"" ";3.47;1; 2.24 kg/m ;7.762099
 V-9 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;10; 0.56 kg/m ;11.478387
 V-9 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;10; 0.56 kg/m ;11.478387
 V-9 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;22; 0.56 kg/m ;25.252452
 V-9 ; SUP ; Viga Peraltada ;" 3/8"" ";2.04;15; 0.56 kg/m ;17.115772
 V-9 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;10; 0.56 kg/m ;11.478387
 V-9 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;10; 0.56 kg/m ;11.478387
 V-9 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;22; 0.56 kg/m ;25.252452
 V-9 ; SUP ; Viga Peraltada ;" 3/8"" ";2.04;15; 0.56 kg/m ;17.115772
 V-9 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;10; 0.56 kg/m ;11.478387
 V-9 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;10; 0.56 kg/m ;11.478387
 V-9 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;22; 0.56 kg/m ;25.252452
 V-9 ; SUP ; Viga Peraltada ;" 3/8"" ";2.04;15; 0.56 kg/m ;17.115772
 V-9 ; SUP ; Viga Peraltada ;" 1"" ";5.56;2; 3.40 kg/m ;37.803502
 V-9 ; SUP ; Viga Peraltada ;" 1"" ";8.98;2; 3.40 kg/m ;60.985031
 V-9 ; SUP ; Viga Peraltada ;" 1"" ";8.88;3; 3.40 kg/m ;90.454118
 V-9 ; SUP ; Viga Peraltada ;" 1"" ";5.92;2; 3.40 kg/m ;40.205593
 V-9 ; SUP ; Viga Peraltada ;" 1"" ";6.08;3; 3.40 kg/m ;61.945866
 V-9 ; SUP ; Viga Peraltada ;" 1"" ";5.15;2; 3.40 kg/m ;35.021596
 V-9 ; SUP ; Viga Peraltada ;" 1"" ";3.65;2; 3.40 kg/m ;24.796823
 V-9 ; SUP ; Viga Peraltada ;" 1"" ";5.45;2; 3.40 kg/m ;37.056649
 V-9 ; SUP ; Viga Peraltada ;" 1"" ";8.98;2; 3.40 kg/m ;60.985031
 V-9 ; SUP ; Viga Peraltada ;" 1"" ";8.99;3; 3.40 kg/m ;91.570063
 V-9 ; SUP ; Viga Peraltada ;" 1"" ";5.92;2; 3.40 kg/m ;40.205593
 V-9 ; SUP ; Viga Peraltada ;" 1"" ";6.08;3; 3.40 kg/m ;61.945866
 V-9 ; SUP ; Viga Peraltada ;" 1"" ";5.45;2; 3.40 kg/m ;37.056649
 V-9 ; SUP ; Viga Peraltada ;" 1"" ";8.98;2; 3.40 kg/m ;60.985031
 V-9 ; SUP ; Viga Peraltada ;" 1"" ";8.99;3; 3.40 kg/m ;91.570063
 V-9 ; SUP ; Viga Peraltada ;" 1"" ";5.92;2; 3.40 kg/m ;40.205593
 V-9 ; SUP ; Viga Peraltada ;" 1"" ";6.08;3; 3.40 kg/m ;61.945866
 V-10 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;10; 0.56 kg/m ;11.470283
 V-10 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;10; 0.56 kg/m ;11.470283
 V-10 ; SUP ; Viga Peraltada ;" 3/8"" ";2.04;23; 0.56 kg/m ;26.316621
 V-10 ; SUP ; Viga Peraltada ;" 3/8"" ";2.04;12; 0.56 kg/m ;13.72807
 V-10 ; SUP ; Viga Peraltada ;" 1"" ";8.94;2; 3.40 kg/m ;60.714735
 V-10 ; SUP ; Viga Peraltada ;" 1"" ";4.15;1; 3.40 kg/m ;14.102152
 V-10 ; SUP ; Viga Peraltada ;" 1"" ";7.08;2; 3.40 kg/m ;48.080978
 V-10 ; SUP ; Viga Peraltada ;" 1"" ";8.98;2; 3.40 kg/m ;61.033958
 V-10 ; SUP ; Viga Peraltada ;" 1"" ";7.53;2; 3.40 kg/m ;51.138278
 V-10 ; SUP ; Viga Peraltada ;" 1"" ";7.84;1; 3.40 kg/m ;26.623528
 V-10 ; SUP ; Viga Peraltada ;" 1"" ";3.75;1; 3.40 kg/m ;12.743084
 V-10 ; SUP ; Viga Peraltada ;" 1"" ";7.33;2; 3.40 kg/m ;49.820602
 V-10 ; SUP ; Viga Peraltada ;" 1"" ";6.18;3; 3.40 kg/m ;62.93426
 Techo 2° Nivel: 158 ; SUP ;;;;928;;3,291.06
 Techo 3° Nivel ; SUP ;;;;;;
 Viga Chata ; SUP ;;;;;;
 Corte 9-9 ; SUP ; Viga Chata ;" 1/4"" ";0.94;3; 0.22 kg/m ;0.627511
 Corte 9-9 ; SUP ; Viga Chata ;" 1/4"" ";0.94;5; 0.22 kg/m ;1.045851
 Corte 9-9 ; SUP ; Viga Chata ;" 1/4"" ";0.94;3; 0.22 kg/m ;0.627511
 Corte 9-9 ; SUP ; Viga Chata ;" 1/4"" ";0.94;5; 0.22 kg/m ;1.045851
 Corte 9-9 ; SUP ; Viga Chata ;" 1/4"" ";0.94;3; 0.22 kg/m ;0.627511
 Corte 9-9 ; SUP ; Viga Chata ;" 1/4"" ";0.94;5; 0.22 kg/m ;1.045851
 Corte 9-9 ; SUP ; Viga Chata ;" 1/4"" ";0.94;3; 0.22 kg/m ;0.627511
 Corte 9-9 ; SUP ; Viga Chata ;" 1/4"" ";0.94;5; 0.22 kg/m ;1.046794
 Corte 9-9 ; SUP ; Viga Chata ;" 1/4"" ";0.94;3; 0.22 kg/m ;0.627511
 Corte 9-9 ; SUP ; Viga Chata ;" 1/4"" ";0.94;5; 0.22 kg/m ;1.045851
 Corte 9-9 ; SUP ; Viga Chata ;" 1/2"" ";1.88;2; 0.99 kg/m ;3.727967
 Corte 9-9 ; SUP ; Viga Chata ;" 1/2"" ";1.88;2; 0.99 kg/m ;3.727967
 Corte 9-9 ; SUP ; Viga Chata ;" 1/2"" ";1.88;2; 0.99 kg/m ;3.727967
 Corte 9-9 ; SUP ; Viga Chata ;" 1/2"" ";1.88;2; 0.99 kg/m ;3.727967
 Corte 9-9 ; SUP ; Viga Chata ;" 1/2"" ";1.88;2; 0.99 kg/m ;3.727967
 Corte 9-9 ; SUP ; Viga Chata ;" 1/2"" ";1.88;2; 0.99 kg/m ;3.727967
 Corte 9-9 ; SUP ; Viga Chata ;" 1/2"" ";1.88;2; 0.99 kg/m ;3.727967
 Corte 9-9 ; SUP ; Viga Chata ;" 1/2"" ";1.88;2; 0.99 kg/m ;3.727967
 Corte 9-9 ; SUP ; Viga Chata ;" 1/2"" ";1.88;2; 0.99 kg/m ;3.727967
 Corte 9-9 ; SUP ; Viga Chata ;" 1/2"" ";1.88;2; 0.99 kg/m ;3.727967
 Viga Peralrada ; SUP ;;;;;;
 Corte 2-2 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;31; 0.56 kg/m ;35.538639
 Corte 2-2 ; SUP ; Viga Peraltada ;" 3/4"" ";5.67;2; 2.24 kg/m ;25.366046
 Corte 2-2 ; SUP ; Viga Peraltada ;" 3/4"" ";5.67;2; 2.24 kg/m ;25.365996
 Viga Peraltada ; SUP ;;;;;;
