Tipo;Diámetro;Longitud de barra (m);Cantidad;Peso de acero;Peso total (kg)
Losa Aligerada;1/4";2.82;20;0.22 kg/m;12.537629
Losa Aligerada;1/4";2.82;20;0.22 kg/m;12.541814
Losa Aligerada;1/4";2.83;21;0.22 kg/m;13.189737
Losa Aligerada;1/4";2.48;21;0.22 kg/m;11.541523
Losa Aligerada;1/4";8.97;9;0.22 kg/m;17.924375
Losa Aligerada;1/4";8.97;9;0.22 kg/m;17.924375
Losa Aligerada;1/4";4.50;9;0.22 kg/m;9.000088
Losa Aligerada;1/4";2.83;21;0.22 kg/m;13.189737
Losa Aligerada;3.1/2";5.86;5;0.99 kg/m;29.109964
Losa Aligerada;3/8";1.47;5;0.56 kg/m;4.119568
Losa Aligerada;3/8";3.65;5;0.56 kg/m;10.223899
Losa Aligerada;3/8";8.93;5;0.56 kg/m;24.999977
Losa Aligerada;3/8";3.49;5;0.56 kg/m;9.771192
Losa Aligerada;3/8";8.44;5;0.56 kg/m;23.625681
Losa Aligerada;3/8";3.47;5;0.56 kg/m;9.720964
Losa Aligerada;3/8";3.34;5;0.56 kg/m;9.360895
Losa Aligerada;3/8";2.93;5;0.56 kg/m;8.215282
Losa Aligerada;3/8";2.07;5;0.56 kg/m;5.802738
Losa Aligerada;3/8";2.93;5;0.56 kg/m;8.215282
Losa Aligerada;3/8";2.07;5;0.56 kg/m;5.802738
Losa Aligerada;3/8";2.93;5;0.56 kg/m;8.215282
Losa Aligerada;3/8";2.07;5;0.56 kg/m;5.802738
Losa Aligerada;3/8";2.50;5;0.56 kg/m;6.99259
Losa Maciza;3/8";7.55;34;0.56 kg/m;143.840862
Losa Maciza;3/8";6.81;1;0.56 kg/m;3.813186
Losa Maciza;3/8";6.83;1;0.56 kg/m;3.82205
Losa Maciza;3/8";6.83;1;0.56 kg/m;3.827396
Losa Maciza;3/8";6.83;1;0.56 kg/m;3.825544
Losa Maciza;3/8";7.34;1;0.56 kg/m;4.108301
Losa Maciza;3/8";7.34;1;0.56 kg/m;4.109518
Losa Maciza;3/8";7.34;1;0.56 kg/m;4.110735
Losa Maciza;3/8";7.34;1;0.56 kg/m;4.111951
Losa Maciza;3/8";7.34;1;0.56 kg/m;4.113168
Losa Maciza;3/8";7.35;1;0.56 kg/m;4.114384
Losa Maciza;3/8";7.35;1;0.56 kg/m;4.115601
Losa Maciza;3/8";7.35;1;0.56 kg/m;4.116818
Losa Maciza;3/8";7.35;1;0.56 kg/m;4.118034
Losa Maciza;3/8";7.36;1;0.56 kg/m;4.119251
Losa Maciza;3/8";7.36;1;0.56 kg/m;4.120467
Losa Maciza;3/8";7.36;1;0.56 kg/m;4.121684
Losa Maciza;3/8";7.36;1;0.56 kg/m;4.122901
Losa Maciza;3/8";7.36;1;0.56 kg/m;4.124117
Losa Maciza;3/8";7.37;1;0.56 kg/m;4.125334
Losa Maciza;3/8";7.37;1;0.56 kg/m;4.12655
Losa Maciza;3/8";7.37;1;0.56 kg/m;4.127767
Losa Maciza;3/8";7.37;1;0.56 kg/m;4.128984
Losa Maciza;3/8";7.38;1;0.56 kg/m;4.1302
Losa Maciza;3/8";7.22;34;0.56 kg/m;137.392011
Losa Maciza;3/8";6.82;1;0.56 kg/m;3.821301
Losa Maciza;3/8";6.82;1;0.56 kg/m;3.817123
Losa Maciza;3/8";6.82;1;0.56 kg/m;3.820299
Losa Maciza;3/8";6.83;1;0.56 kg/m;3.822148
Losa Maciza;3/8";7.34;1;0.56 kg/m;4.108301
Losa Maciza;3/8";7.34;1;0.56 kg/m;4.109518
Losa Maciza;3/8";7.34;1;0.56 kg/m;4.110735
Losa Maciza;3/8";7.34;1;0.56 kg/m;4.111951
Losa Maciza;3/8";7.34;1;0.56 kg/m;4.113168
Losa Maciza;3/8";7.35;1;0.56 kg/m;4.114384
Losa Maciza;3/8";7.35;1;0.56 kg/m;4.115601
Losa Maciza;3/8";7.35;1;0.56 kg/m;4.116818
Losa Maciza;3/8";7.35;1;0.56 kg/m;4.118034
Losa Maciza;3/8";7.36;1;0.56 kg/m;4.119251
Losa Maciza;3/8";7.36;1;0.56 kg/m;4.120467
Losa Maciza;3/8";7.36;1;0.56 kg/m;4.121684
Losa Maciza;3/8";7.36;1;0.56 kg/m;4.122901
Losa Maciza;3/8";7.36;1;0.56 kg/m;4.124117
Losa Maciza;3/8";7.37;1;0.56 kg/m;4.125334
Losa Maciza;3/8";7.37;1;0.56 kg/m;4.12655
Losa Maciza;3/8";7.37;1;0.56 kg/m;4.127767
Losa Maciza;3/8";7.37;1;0.56 kg/m;4.128984
Losa Maciza;3/8";7.38;1;0.56 kg/m;4.1302
Losa Maciza;3/8";6.11;1;0.56 kg/m;3.422482
Losa Maciza;3/8";6.11;1;0.56 kg/m;3.418885
Losa Maciza;3/8";3.05;1;0.56 kg/m;1.707521
Losa Maciza;3/8";3.19;1;0.56 kg/m;1.788262
Losa Maciza;3/8";6.51;1;0.56 kg/m;3.646967
Losa Maciza;3/8";6.50;1;0.56 kg/m;3.642644
Losa Maciza;3/8";6.48;1;0.56 kg/m;3.62879
Losa Maciza;3/8";6.49;1;0.56 kg/m;3.631807
Losa Maciza;3/8";6.50;1;0.56 kg/m;3.637361
Losa Maciza;3/8";6.47;1;0.56 kg/m;3.624634
Losa Maciza;3/8";6.47;1;0.56 kg/m;3.620967
Losa Maciza;3/8";6.46;1;0.56 kg/m;3.619776
Losa Maciza;3/8";6.45;1;0.56 kg/m;3.613955
Losa Maciza;3/8";6.44;1;0.56 kg/m;3.604891
Losa Maciza;3/8";6.44;1;0.56 kg/m;3.607108
Losa Maciza;3/8";6.44;1;0.56 kg/m;3.605033
Losa Maciza;3/8";6.43;1;0.56 kg/m;3.60227
Losa Maciza;3/8";6.42;1;0.56 kg/m;3.595793
Losa Maciza;3/8";6.41;1;0.56 kg/m;3.59079
Losa Maciza;3/8";6.41;1;0.56 kg/m;3.590935
Losa Maciza;3/8";6.42;1;0.56 kg/m;3.592865
Losa Maciza;3/8";6.41;1;0.56 kg/m;3.588369
Losa Maciza;3/8";6.39;1;0.56 kg/m;3.576941
Losa Maciza;3/8";6.39;1;0.56 kg/m;3.578802
Losa Maciza;3/8";6.38;1;0.56 kg/m;3.572355
Losa Maciza;3/8";6.37;1;0.56 kg/m;3.567759
Losa Maciza;3/8";6.36;1;0.56 kg/m;3.562466
Losa Maciza;3/8";6.37;1;0.56 kg/m;3.569869
Losa Maciza;3/8";6.36;1;0.56 kg/m;3.559622
Losa Maciza;3/8";6.35;1;0.56 kg/m;3.555724
Losa Maciza;3/8";6.34;1;0.56 kg/m;3.549833
Losa Maciza;3/8";6.33;1;0.56 kg/m;3.544084
Losa Maciza;3/8";6.32;1;0.56 kg/m;3.540883
Losa Maciza;3/8";6.32;1;0.56 kg/m;3.539433
Losa Maciza;3/8";3.21;1;0.56 kg/m;1.795429
Losa Maciza;3/8";2.88;1;0.56 kg/m;1.611356
Losa Maciza;3/8";6.30;1;0.56 kg/m;3.529165
Losa Maciza;3/8";6.31;1;0.56 kg/m;3.53096
Losa Maciza;3/8";6.29;1;0.56 kg/m;3.522307
Losa Maciza;3/8";6.29;1;0.56 kg/m;3.520316
Losa Maciza;3/8";6.27;1;0.56 kg/m;3.512959
Losa Maciza;3/8";6.27;1;0.56 kg/m;3.51219
Losa Maciza;3/8";6.27;1;0.56 kg/m;3.511209
Losa Maciza;3/8";6.26;1;0.56 kg/m;3.506079
Losa Maciza;3/8";6.26;1;0.56 kg/m;3.502983
Losa Maciza;3/8";6.25;1;0.56 kg/m;3.500223
Losa Maciza;3/8";6.25;1;0.56 kg/m;3.499843
Losa Maciza;3/8";6.24;1;0.56 kg/m;3.493449
Losa Maciza;3/8";5.82;1;0.56 kg/m;3.257055
Losa Maciza;3/8";5.81;1;0.56 kg/m;3.253459
Losa Maciza;3/8";0.50;1;0.56 kg/m;0.277392
Losa Maciza;3/8";0.95;1;0.56 kg/m;0.532167
Losa Maciza;3/8";0.95;1;0.56 kg/m;0.533537
Losa Maciza;3/8";0.96;1;0.56 kg/m;0.534907
Losa Maciza;3/8";6.11;1;0.56 kg/m;3.422482
Losa Maciza;3/8";6.11;1;0.56 kg/m;3.418885
Losa Maciza;3/8";3.05;1;0.56 kg/m;1.707521
Losa Maciza;3/8";2.78;1;0.56 kg/m;1.55621
Losa Maciza;3/8";6.09;1;0.56 kg/m;3.411693
Losa Maciza;3/8";6.09;1;0.56 kg/m;3.408097
Losa Maciza;3/8";6.08;1;0.56 kg/m;3.404501
Losa Maciza;3/8";6.07;1;0.56 kg/m;3.400904
Losa Maciza;3/8";6.07;1;0.56 kg/m;3.397308
Losa Maciza;3/8";6.06;1;0.56 kg/m;3.393712
Losa Maciza;3/8";6.05;1;0.56 kg/m;3.390116
Losa Maciza;3/8";6.05;1;0.56 kg/m;3.386519
Losa Maciza;3/8";6.04;1;0.56 kg/m;3.382923
Losa Maciza;3/8";6.03;1;0.56 kg/m;3.379327
Losa Maciza;3/8";6.03;1;0.56 kg/m;3.375731
Losa Maciza;3/8";6.02;1;0.56 kg/m;3.372134
Losa Maciza;3/8";6.02;1;0.56 kg/m;3.368538
Losa Maciza;3/8";6.01;1;0.56 kg/m;3.364942
Losa Maciza;3/8";6.00;1;0.56 kg/m;3.361346
Losa Maciza;3/8";6.00;1;0.56 kg/m;3.35775
Losa Maciza;3/8";5.99;1;0.56 kg/m;3.354153
Losa Maciza;3/8";5.98;1;0.56 kg/m;3.350557
Losa Maciza;3/8";5.98;1;0.56 kg/m;3.346961
Losa Maciza;3/8";5.97;1;0.56 kg/m;3.343365
Losa Maciza;3/8";5.96;1;0.56 kg/m;3.339768
Losa Maciza;3/8";5.96;1;0.56 kg/m;3.336172
Losa Maciza;3/8";5.95;1;0.56 kg/m;3.332576
Losa Maciza;3/8";5.94;1;0.56 kg/m;3.32898
Losa Maciza;3/8";5.94;1;0.56 kg/m;3.325383
Losa Maciza;3/8";5.93;1;0.56 kg/m;3.321787
Losa Maciza;3/8";5.93;1;0.56 kg/m;3.318191
Losa Maciza;3/8";5.92;1;0.56 kg/m;3.314595
Losa Maciza;3/8";5.91;1;0.56 kg/m;3.310999
Losa Maciza;3/8";5.91;1;0.56 kg/m;3.307402
Losa Maciza;3/8";3.21;1;0.56 kg/m;1.795429
Losa Maciza;3/8";2.47;1;0.56 kg/m;1.385022
Losa Maciza;3/8";5.89;1;0.56 kg/m;3.30021
Losa Maciza;3/8";5.89;1;0.56 kg/m;3.296614
Losa Maciza;3/8";5.88;1;0.56 kg/m;3.293017
Losa Maciza;3/8";5.87;1;0.56 kg/m;3.289421
Losa Maciza;3/8";5.87;1;0.56 kg/m;3.285825
Losa Maciza;3/8";5.86;1;0.56 kg/m;3.282229
Losa Maciza;3/8";5.85;1;0.56 kg/m;3.278632
Losa Maciza;3/8";5.85;1;0.56 kg/m;3.275036
Losa Maciza;3/8";5.84;1;0.56 kg/m;3.27144
Losa Maciza;3/8";5.84;1;0.56 kg/m;3.267844
Losa Maciza;3/8";5.83;1;0.56 kg/m;3.264248
Losa Maciza;3/8";5.82;1;0.56 kg/m;3.260651
Losa Maciza;3/8";5.82;1;0.56 kg/m;3.257055
Losa Maciza;3/8";5.81;1;0.56 kg/m;3.253459
Losa Maciza;3/8";0.50;1;0.56 kg/m;0.277392
Losa Maciza;3/8";0.95;1;0.56 kg/m;0.532167
Losa Maciza;3/8";0.95;1;0.56 kg/m;0.533537
Losa Maciza;3/8";0.96;1;0.56 kg/m;0.534907
Losa Maciza;3/8";9.00;26;0.56 kg/m;131.031578
Losa Maciza;3/8";4.90;27;0.56 kg/m;74.02559
Losa Maciza;3/8";5.34;27;0.56 kg/m;80.772463
Losa Maciza;3/8";8.89;26;0.56 kg/m;129.376927
Losa Maciza;3/8";6.16;6;0.56 kg/m;20.689442
Losa Maciza;3/8";6.18;6;0.56 kg/m;20.750473
Losa Maciza;3/8";4.08;48;0.56 kg/m;109.735564
Losa Maciza;3/8";8.59;1;0.56 kg/m;4.812586
Losa Maciza;3/8";8.60;1;0.56 kg/m;4.817085
Losa Maciza;3/8";8.58;1;0.56 kg/m;4.806435
Losa Maciza;3/8";8.62;1;0.56 kg/m;4.827091
Losa Maciza;3/8";8.61;1;0.56 kg/m;4.823077
Losa Maciza;3/8";8.61;1;0.56 kg/m;4.822012
Losa Maciza;3/8";8.63;1;0.56 kg/m;4.830636
Losa Maciza;3/8";8.66;1;0.56 kg/m;4.849384
Losa Maciza;3/8";8.62;1;0.56 kg/m;4.826631
Losa Maciza;3/8";8.59;1;0.56 kg/m;4.811514
Losa Maciza;3/8";8.58;1;0.56 kg/m;4.806493
Losa Maciza;3/8";8.59;1;0.56 kg/m;4.809752
Losa Maciza;3/8";8.59;1;0.56 kg/m;4.812811
Losa Maciza;3/8";8.61;1;0.56 kg/m;4.820126
Losa Maciza;3/8";8.62;1;0.56 kg/m;4.825398
Losa Maciza;3/8";8.62;1;0.56 kg/m;4.829395
Losa Maciza;3/8";8.63;1;0.56 kg/m;4.831014
Losa Maciza;3/8";8.65;1;0.56 kg/m;4.841346
Losa Maciza;3/8";9.00;7;0.56 kg/m;35.278727
Losa Maciza;3/8";9.00;7;0.56 kg/m;35.278961
Losa Maciza;3/8";2.63;27;0.56 kg/m;39.771127
Losa Maciza;3/8";1.81;27;0.56 kg/m;27.330412
Losa Maciza;3/8";9.00;7;0.56 kg/m;35.278727
Losa Maciza;3/8";9.00;7;0.56 kg/m;35.278961
Losa Maciza;3/8";7.62;7;0.56 kg/m;29.861939
Losa Maciza;3/8";7.61;7;0.56 kg/m;29.842433
Losa Maciza;3/8";2.63;27;0.56 kg/m;39.771127
Losa Maciza;3/8";1.81;27;0.56 kg/m;27.330412
Losa Maciza;3/8";2.63;27;0.56 kg/m;39.771127
Losa Maciza;3/8";1.80;27;0.56 kg/m;27.163283
Losa Maciza;3/8";7.72;15;0.56 kg/m;64.833706
Losa Maciza;3/8";7.74;15;0.56 kg/m;65.041591
Losa Maciza;3/8";4.65;9;0.56 kg/m;23.445945
Losa Maciza;3/8";4.67;9;0.56 kg/m;23.544669
Losa Maciza;3/8";2.23;9;0.56 kg/m;11.252883
Losa Maciza;3/8";2.23;9;0.56 kg/m;11.229948
Losa Maciza;3/8";2.49;9;0.56 kg/m;12.547566
Losa Maciza;3/8";5.13;12;0.56 kg/m;34.450238
Losa Maciza;3/8";6.52;4;0.56 kg/m;14.601574
Losa Maciza;3/8";5.12;8;0.56 kg/m;22.923136
Losa Maciza;3/8";3.51;8;0.56 kg/m;15.721243
Losa Maciza;3/8";3.95;8;0.56 kg/m;17.675598
Losa Maciza;3/8";3.29;7;0.56 kg/m;12.901907
Losa Maciza;3/8";3.58;7;0.56 kg/m;14.027474
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;1.8 mm;1.07;36;0.40 kg/m;15.223014
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.892087
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.891316
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.891958
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.890803
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.703571
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.890957
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.889969
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.89059
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.703637
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.89131
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.703607
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.8906
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.890244
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.890976
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.891497
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.891285
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.891444
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.891602
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.89111
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.890869
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.891259
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.891086
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.891843
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.891729
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.891604
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.890229
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.891247
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.890103
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.891022
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
Losa Nervada;3.1/2";6.52;2;0.99 kg/m;12.968216
Losa Nervada;3.1/2";1.88;2;0.99 kg/m;3.740984
Losa Nervada;3.1/2";6.39;2;0.99 kg/m;12.70357
Losa Nervada;3.1/2";9.00;2;0.99 kg/m;17.891905
Losa Nervada;3.1/2";5.85;2;0.99 kg/m;11.63162
