Elemento;Tipo;Diámetro;Longitud de barra (m);Cantidad;Peso de acero;Peso total (kg)
Viga;V-8;"3/8""";2.04;19;0.56 kg/m;21.707352
Viga;V-8;"3/8""";2.03;10;0.56 kg/m;11.358323
Viga;V-8;"3/8""";2.03;10;0.56 kg/m;11.358323
Viga;V-8;"3/8""";2.03;9;0.56 kg/m;10.224093
Viga;V-8;"3/8""";2.03;10;0.56 kg/m;11.358323
Viga;V-8;"3/8""";2.03;10;0.56 kg/m;11.358323
Viga;V-8;"3/8""";2.03;9;0.56 kg/m;10.225776
Viga;V-8;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-8;"3/8""";2.01;10;0.56 kg/m;11.269287
Viga;V-8;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-8;"6.3/4""";7.25;2;2.24 kg/m;32.396882
Viga;V-8;"6.3/4""";8.98;2;2.24 kg/m;40.118722
Viga;V-8;"6.3/4""";3.47;1;2.24 kg/m;7.762099
Viga;V-8;"6.3/4""";5.84;2;2.24 kg/m;26.096507
Viga;V-8;"6.3/4""";8.99;2;2.24 kg/m;40.192186
Viga;V-8;"6.3/4""";6.69;2;2.24 kg/m;29.91403
Viga;V-8;"6.3/4""";5.7;2;2.24 kg/m;25.472385
Viga;V-8;"6.3/4""";2.94;2;2.24 kg/m;13.151581
Viga;V-8;"6.3/4""";2.94;1;2.24 kg/m;6.575791
Viga;V-8;"6.3/4""";2.94;1;2.24 kg/m;6.575791
Viga;V-8;"6.3/4""";3.47;1;2.24 kg/m;7.762099
Viga;V-9;"3/8""";2.05;10;0.56 kg/m;11.478387
Viga;V-9;"3/8""";2.05;10;0.56 kg/m;11.478387
Viga;V-9;"3/8""";2.05;22;0.56 kg/m;25.252452
Viga;V-9;"3/8""";2.04;15;0.56 kg/m;17.115772
Viga;V-9;"3/8""";2.05;10;0.56 kg/m;11.478387
Viga;V-9;"3/8""";2.05;10;0.56 kg/m;11.478387
Viga;V-9;"3/8""";2.05;22;0.56 kg/m;25.252452
Viga;V-9;"3/8""";2.04;15;0.56 kg/m;17.115772
Viga;V-9;"3/8""";2.05;10;0.56 kg/m;11.478387
Viga;V-9;"3/8""";2.05;10;0.56 kg/m;11.478387
Viga;V-9;"3/8""";2.05;22;0.56 kg/m;25.252452
Viga;V-9;"3/8""";2.04;15;0.56 kg/m;17.115772
Viga;V-9;"7.1""";5.56;2;3.40 kg/m;37.803502
Viga;V-9;"7.1""";8.98;2;3.40 kg/m;60.985031
Viga;V-9;"7.1""";8.88;3;3.40 kg/m;90.454118
Viga;V-9;"7.1""";5.92;2;3.40 kg/m;40.205593
Viga;V-9;"7.1""";6.08;3;3.40 kg/m;61.945866
Viga;V-9;"7.1""";5.15;2;3.40 kg/m;35.021596
Viga;V-9;"7.1""";3.65;2;3.40 kg/m;24.796823
Viga;V-9;"7.1""";5.45;2;3.40 kg/m;37.056649
Viga;V-9;"7.1""";8.98;2;3.40 kg/m;60.985031
Viga;V-9;"7.1""";8.99;3;3.40 kg/m;91.570063
Viga;V-9;"7.1""";5.92;2;3.40 kg/m;40.205593
Viga;V-9;"7.1""";6.08;3;3.40 kg/m;61.945866
Viga;V-9;"7.1""";5.45;2;3.40 kg/m;37.056649
Viga;V-9;"7.1""";8.98;2;3.40 kg/m;60.985031
Viga;V-9;"7.1""";8.99;3;3.40 kg/m;91.570063
Viga;V-9;"7.1""";5.92;2;3.40 kg/m;40.205593
Viga;V-9;"7.1""";6.08;3;3.40 kg/m;61.945866
Viga;V-10;"3/8""";2.05;10;0.56 kg/m;11.470283
Viga;V-10;"3/8""";2.05;10;0.56 kg/m;11.470283
Viga;V-10;"3/8""";2.04;23;0.56 kg/m;26.316621
Viga;V-10;"3/8""";2.04;12;0.56 kg/m;13.72807
Viga;V-10;"7.1""";8.94;2;3.40 kg/m;60.714735
Viga;V-10;"7.1""";4.15;1;3.40 kg/m;14.102152
Viga;V-10;"7.1""";7.08;2;3.40 kg/m;48.080978
Viga;V-10;"7.1""";8.98;2;3.40 kg/m;61.033958
Viga;V-10;"7.1""";7.53;2;3.40 kg/m;51.138278
Viga;V-10;"7.1""";7.84;1;3.40 kg/m;26.623528
Viga;V-10;"7.1""";3.75;1;3.40 kg/m;12.743084
Viga;V-10;"7.1""";7.33;2;3.40 kg/m;49.820602
Viga;V-10;"7.1""";6.18;3;3.40 kg/m;62.93426
Viga;Corte 9-9;"1/4""";0.94;3;0.22 kg/m;0.627511
Viga;Corte 9-9;"1/4""";0.94;5;0.22 kg/m;1.045851
Viga;Corte 9-9;"1/4""";0.94;3;0.22 kg/m;0.627511
Viga;Corte 9-9;"1/4""";0.94;5;0.22 kg/m;1.045851
Viga;Corte 9-9;"1/4""";0.94;3;0.22 kg/m;0.627511
Viga;Corte 9-9;"1/4""";0.94;5;0.22 kg/m;1.045851
Viga;Corte 9-9;"1/4""";0.94;3;0.22 kg/m;0.627511
Viga;Corte 9-9;"1/4""";0.94;5;0.22 kg/m;1.046794
Viga;Corte 9-9;"1/4""";0.94;3;0.22 kg/m;0.627511
Viga;Corte 9-9;"1/4""";0.94;5;0.22 kg/m;1.045851
Viga;Corte 9-9;"3.1/2""";1.88;2;0.99 kg/m;3.727967
Viga;Corte 9-9;"3.1/2""";1.88;2;0.99 kg/m;3.727967
Viga;Corte 9-9;"3.1/2""";1.88;2;0.99 kg/m;3.727967
Viga;Corte 9-9;"3.1/2""";1.88;2;0.99 kg/m;3.727967
Viga;Corte 9-9;"3.1/2""";1.88;2;0.99 kg/m;3.727967
Viga;Corte 9-9;"3.1/2""";1.88;2;0.99 kg/m;3.727967
Viga;Corte 9-9;"3.1/2""";1.88;2;0.99 kg/m;3.727967
Viga;Corte 9-9;"3.1/2""";1.88;2;0.99 kg/m;3.727967
Viga;Corte 9-9;"3.1/2""";1.88;2;0.99 kg/m;3.727967
Viga;Corte 9-9;"3.1/2""";1.88;2;0.99 kg/m;3.727967
Viga;Corte 2-2;"3/8""";2.05;31;0.56 kg/m;35.538639
Viga;Corte 2-2;"6.3/4""";5.67;2;2.24 kg/m;25.366046
Viga;Corte 2-2;"6.3/4""";5.67;2;2.24 kg/m;25.365996
Viga;Corte 2-2;"3/8""";2.02;11;0.56 kg/m;12.459583
Viga;Corte 2-2;"6.3/4""";2.49;2;2.24 kg/m;11.112044
Viga;Corte 2-2;"6.3/4""";2.48;2;2.24 kg/m;11.071313
Viga;Corte 3-3;"3/8""";2.05;20;0.56 kg/m;22.960905
Viga;Corte 3-3;"6.3/4""";3.92;2;2.24 kg/m;17.508992
Viga;Corte 3-3;"6.3/4""";3.92;2;2.24 kg/m;17.537703
Viga;Corte 5-5;"3/8""";1.87;15;0.56 kg/m;15.749306
Viga;Corte 5-5;"3/8""";1.87;11;0.56 kg/m;11.549473
Viga;Corte 5-5;"5/8""";4.8;2;1.55 kg/m;14.894512
Viga;Corte 5-5;"5/8""";4.8;2;1.55 kg/m;14.899824
Viga;V-3;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-3;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-3;"3/8""";2.03;10;0.56 kg/m;11.344535
Viga;V-3;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-3;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-3;"3/8""";2.03;10;0.56 kg/m;11.344121
Viga;V-3;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-3;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-3;"3/8""";2.03;10;0.56 kg/m;11.345166
Viga;V-3;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-3;"3/8""";2;9;0.56 kg/m;10.091959
Viga;V-3;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-3;"6.3/4""";7.01;2;2.24 kg/m;31.324662
Viga;V-3;"6.3/4""";8.98;2;2.24 kg/m;40.138131
Viga;V-3;"6.3/4""";7.4;2;2.24 kg/m;33.061209
Viga;V-3;"6.3/4""";3.53;2;2.24 kg/m;15.765778
Viga;V-3;"6.3/4""";7.03;2;2.24 kg/m;31.445467
Viga;V-3;"6.3/4""";8.99;2;2.24 kg/m;40.201397
Viga;V-3;"6.3/4""";7.22;2;2.24 kg/m;32.263545
Viga;V-3;"6.3/4""";2.94;2;2.24 kg/m;13.15944
Viga;V-3;"6.3/4""";2.94;2;2.24 kg/m;13.15944
Viga;V-3;"6.3/4""";2.94;2;2.24 kg/m;13.15944
Viga;V-3;"6.3/4""";3.36;1;2.24 kg/m;7.513644
Viga;V-3;"6.3/4""";3.36;1;2.24 kg/m;7.501978
Viga;V-3;"6.3/4""";3.38;2;2.24 kg/m;15.095299
Viga;V-4;"3/8""";1.95;10;0.56 kg/m;10.916107
Viga;V-4;"3/8""";1.95;5;0.56 kg/m;5.458053
Viga;V-4;"6.3/4""";3.73;2;2.24 kg/m;16.677215
Viga;V-4;"7.1""";4.49;2;3.40 kg/m;30.520328
Viga;V-4;"7.1""";3.44;1;3.40 kg/m;11.670839
Viga;V-7;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-7;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-7;"3/8""";2.03;11;0.56 kg/m;12.487844
Viga;V-7;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-7;"3/8""";2.03;15;0.56 kg/m;17.02838
Viga;V-7;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-7;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-7;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-7;"3/8""";2.03;11;0.56 kg/m;12.487844
Viga;V-7;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-7;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-7;"3/8""";2.03;11;0.56 kg/m;12.486237
Viga;V-7;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-7;"3/8""";2.06;11;0.56 kg/m;12.70182
Viga;V-7;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-7;"6.3/4""";7.86;2;2.24 kg/m;35.135448
Viga;V-7;"6.3/4""";8.98;2;2.24 kg/m;40.134912
Viga;V-7;"6.3/4""";6.39;2;2.24 kg/m;28.548871
Viga;V-7;"6.3/4""";3.81;1;2.24 kg/m;8.518904
Viga;V-7;"6.3/4""";8.38;2;2.24 kg/m;37.438752
Viga;V-7;"6.3/4""";6.22;2;2.24 kg/m;27.784277
Viga;V-7;"6.3/4""";8.99;2;2.24 kg/m;40.201397
Viga;V-7;"6.3/4""";8.99;2;2.24 kg/m;40.192186
Viga;V-7;"6.3/4""";8.98;2;2.24 kg/m;40.132541
Viga;V-7;"6.3/4""";3.12;2;2.24 kg/m;13.934989
Viga;V-7;"6.3/4""";4.5;2;2.24 kg/m;20.114317
Viga;V-7;"6.3/4""";3.77;2;2.24 kg/m;16.855074
Viga;V-7;"6.3/4""";3.12;2;2.24 kg/m;13.934882
Viga;V-7;"6.3/4""";3.12;2;2.24 kg/m;13.934989
Viga;V-8;"3/8""";2.03;10;0.56 kg/m;11.358323
Viga;V-8;"3/8""";2.03;10;0.56 kg/m;11.358323
Viga;V-8;"3/8""";2.03;8;0.56 kg/m;9.08639
Viga;V-8;"3/8""";2.04;19;0.56 kg/m;21.707352
Viga;V-8;"3/8""";2.03;10;0.56 kg/m;11.358323
Viga;V-8;"3/8""";2.03;10;0.56 kg/m;11.358323
Viga;V-8;"3/8""";2.03;9;0.56 kg/m;10.224093
Viga;V-8;"3/8""";2.03;10;0.56 kg/m;11.358323
Viga;V-8;"3/8""";2.03;10;0.56 kg/m;11.358323
Viga;V-8;"3/8""";2.03;9;0.56 kg/m;10.225776
Viga;V-8;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-8;"3/8""";2.01;10;0.56 kg/m;11.269287
Viga;V-8;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-8;"6.3/4""";7.25;2;2.24 kg/m;32.396882
Viga;V-8;"6.3/4""";8.98;2;2.24 kg/m;40.118722
Viga;V-8;"6.3/4""";3.47;1;2.24 kg/m;7.762099
Viga;V-8;"6.3/4""";5.84;2;2.24 kg/m;26.096507
Viga;V-8;"6.3/4""";8.99;2;2.24 kg/m;40.192186
Viga;V-8;"6.3/4""";6.69;2;2.24 kg/m;29.91403
Viga;V-8;"6.3/4""";5.7;2;2.24 kg/m;25.472385
Viga;V-8;"6.3/4""";2.94;2;2.24 kg/m;13.151581
Viga;V-8;"6.3/4""";2.94;1;2.24 kg/m;6.575791
Viga;V-8;"6.3/4""";2.94;1;2.24 kg/m;6.575791
Viga;V-8;"6.3/4""";3.47;1;2.24 kg/m;7.762099
Viga;V-9;"3/8""";2.05;10;0.56 kg/m;11.478387
Viga;V-9;"3/8""";2.05;10;0.56 kg/m;11.478387
Viga;V-9;"3/8""";2.05;22;0.56 kg/m;25.252452
Viga;V-9;"3/8""";2.04;15;0.56 kg/m;17.115772
Viga;V-9;"3/8""";2.05;10;0.56 kg/m;11.478387
Viga;V-9;"3/8""";2.05;10;0.56 kg/m;11.478387
Viga;V-9;"3/8""";2.05;22;0.56 kg/m;25.252452
Viga;V-9;"3/8""";2.04;15;0.56 kg/m;17.115772
Viga;V-9;"3/8""";2.05;10;0.56 kg/m;11.478387
Viga;V-9;"3/8""";2.05;10;0.56 kg/m;11.478387
Viga;V-9;"3/8""";2.05;22;0.56 kg/m;25.252452
Viga;V-9;"3/8""";2.04;15;0.56 kg/m;17.115772
Viga;V-9;"7.1""";5.45;2;3.40 kg/m;37.056649
Viga;V-9;"7.1""";8.98;2;3.40 kg/m;60.985031
Viga;V-9;"7.1""";8.99;3;3.40 kg/m;91.570063
Viga;V-9;"7.1""";5.92;2;3.40 kg/m;40.205593
Viga;V-9;"7.1""";6.08;3;3.40 kg/m;61.945866
Viga;V-9;"7.1""";5.15;2;3.40 kg/m;35.021596
Viga;V-9;"7.1""";3.65;2;3.40 kg/m;24.796823
Viga;V-9;"7.1""";5.45;2;3.40 kg/m;37.056649
Viga;V-9;"7.1""";8.98;2;3.40 kg/m;60.985031
Viga;V-9;"7.1""";8.99;3;3.40 kg/m;91.570063
Viga;V-9;"7.1""";5.92;2;3.40 kg/m;40.205593
Viga;V-9;"7.1""";6.08;3;3.40 kg/m;61.945866
Viga;V-9;"7.1""";5.45;2;3.40 kg/m;37.056649
Viga;V-9;"7.1""";8.98;2;3.40 kg/m;60.985031
Viga;V-9;"7.1""";8.99;3;3.40 kg/m;91.570063
Viga;V-9;"7.1""";5.92;2;3.40 kg/m;40.205593
Viga;V-9;"7.1""";6.08;3;3.40 kg/m;61.945866
Viga;V-10;"3/8""";2.05;10;0.56 kg/m;11.470283
Viga;V-10;"3/8""";2.05;10;0.56 kg/m;11.470283
Viga;V-10;"3/8""";2.04;23;0.56 kg/m;26.316621
Viga;V-10;"3/8""";2.04;12;0.56 kg/m;13.72807
Viga;V-10;"7.1""";8.94;2;3.40 kg/m;60.714735
Viga;V-10;"7.1""";4.15;1;3.40 kg/m;14.102152
Viga;V-10;"7.1""";7.08;2;3.40 kg/m;48.080978
Viga;V-10;"7.1""";8.98;2;3.40 kg/m;61.033958
Viga;V-10;"7.1""";7.53;2;3.40 kg/m;51.138278
Viga;V-10;"7.1""";7.84;1;3.40 kg/m;26.623528
Viga;V-10;"7.1""";3.75;1;3.40 kg/m;12.743084
Viga;V-10;"7.1""";7.33;2;3.40 kg/m;49.820602
Viga;V-10;"7.1""";6.18;3;3.40 kg/m;62.93426
Viga;Corte 2-2;"3/8""";2.05;31;0.56 kg/m;35.538639
Viga;Corte 2-2;"3/8""";2.03;13;0.56 kg/m;14.778783
Viga;Corte 2-2;"3/8""";2.04;19;0.56 kg/m;21.700368
Viga;Corte 2-2;"3/8""";2.02;11;0.56 kg/m;12.459583
Viga;Corte 2-2;"3/8""";2.02;20;0.56 kg/m;22.608544
Viga;Corte 2-2;"6.3/4""";5.67;2;2.24 kg/m;25.366046
Viga;Corte 2-2;"6.3/4""";5.67;2;2.24 kg/m;25.365996
Viga;Corte 2-2;"6.3/4""";5.79;2;2.24 kg/m;25.893852
Viga;Corte 2-2;"6.3/4""";5.8;2;2.24 kg/m;25.906465
Viga;Corte 2-2;"6.3/4""";5.56;2;2.24 kg/m;24.848411
Viga;Corte 2-2;"6.3/4""";5.58;2;2.24 kg/m;24.925225
Viga;Corte 3-3;"3/8""";2.05;20;0.56 kg/m;22.960905
Viga;Corte 3-3;"3/8""";2.07;20;0.56 kg/m;23.175653
Viga;Corte 3-3;"6.3/4""";3.92;2;2.24 kg/m;17.508992
Viga;Corte 3-3;"6.3/4""";3.92;2;2.24 kg/m;17.537703
Viga;Corte 3-3;"6.3/4""";3.92;2;2.24 kg/m;17.50905
Viga;Corte 3-3;"6.3/4""";3.92;2;2.24 kg/m;17.537703
Viga;Corte 6-6;"3/8""";1.87;15;0.56 kg/m;15.749306
Viga;Corte 6-6;"3/8""";1.87;11;0.56 kg/m;11.549473
Viga;Corte 6-6;"5/8""";4.8;2;1.55 kg/m;14.894512
Viga;Corte 6-6;"5/8""";4.8;2;1.55 kg/m;14.899824
Viga;Corte 3-3;"3/8""";2.05;20;0.56 kg/m;22.960905
Viga;Corte 3-3;"6.3/4""";3.92;2;2.24 kg/m;17.508992
Viga;Corte 3-3;"6.3/4""";3.92;2;2.24 kg/m;17.508992
Viga;Corte 3-3;"6.3/4""";3.92;2;2.24 kg/m;17.537703
Viga;Corte 5-5;"3/8""";1.87;15;0.56 kg/m;15.749306
Viga;Corte 5-5;"5/8""";2.99;2;1.55 kg/m;9.281196
Viga;Corte 5-5;"5/8""";2.99;2;1.55 kg/m;9.28117
